Art Direction,Background Music,Banner,Choreography,Cinematography,Costumes,Design,Dialogue,Director,Distribution,Editing,Lyrics,Makeup,Movie,Movie Genre,Music,Original Story,Producer,Screenplay,Shooting Location,Singers,Sound Design,Status,Story,cast
,,Sathyachithra Movies,,Ashok Kumar,,,G Vivekanandan,PN Menon,,,"ONV Kurup, Sreedharan Nair",,Taxi Driver (1977),,Joshi,,,G Vivekanandan,,"KJ Yesudas, S Janaki",,In progress,G Vivekanandan,"['Sharada', 'Raghavan', 'Kuttyedathi Vilasini', 'SP Pillai', 'Satheesh Sathyan', 'Vidhubala']"
S Konnannattu,,Excel Productions,E Madhavan,U Rajagopal,CK Kannan,JJ Miranda,Sarangapani,Adoor Bhasi,Excel Release,TR Sekhar,P Bhaskaran,PN Krishnan,Achaaram Ammini Osharam Omana (1977),,G Devarajan,,Boban Kunchacko,Sarangapani,,"KJ Yesudas, P Susheela, P Jayachandran, P Madhuri",,In progress,Sarangapani,"['Prem Nazir', 'Sheela', 'Sheela']"
,,Kavyadhara,,C Namasivayam,,,Ponkunnam Varkey,NR Pillai,Jolly Enterprisses Release,,"Aravind Abhayadev, Ettumanoor Somadasan",,Makampiranna Manka (1977),,V Dakshinamoorthy,,Ponkunnam Varkey,Ponkunnam Varkey,,"KJ Yesudas, P Susheela, Vani Jairam, Kalyani Menon",,In progress,Ponkunnam Varkey,"['Jayan', 'Jayabharathi', 'KPAC Lalitha', 'Adoor Bhasi', 'Prameela', 'Sankaradi', 'Bhageeradhi Amma', 'Elizabeth', 'Janardanan', 'MG Soman', 'Moossathu', 'Usharani', 'Veeran']"
Sreeni,,Sunitha Productions,,U Rajagopal,,,Cheri Viswanath,Madhu,,G Venkittaraman,ONV Kurup,,Dheerasameere Yamunaatheere (1977),,Shyam,,M Mani,Cheri Viswanath,,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran, LR Eeswari, Pattom Sadan",,In progress,Cheri Viswanath,"['Madhu', 'Vidhubala']"
,,Ganesh Pictures,,,,,KP Kottarakkara,M Krishnan Nair,,,Sreekumaran Thampi,,Madhuraswapnam (1977),,MK Arjunan,,KP Kottarakkara,KP Kottarakkara,,"KJ Yesudas, S Janaki, P Jayachandran, Vani Jairam, Ambili, Jolly Abraham, Kausalya, LR Anjali, Santha",,In progress,KP Kottarakkara,"['Kamalahasan', 'Prema', 'Sam', 'Sankaradi', 'Mancheri Chandran', 'Paul Vengola', 'Unnimary', 'Jose Prakash', 'Sukumari', 'Jayaprabha', 'Mallika Sukumaran', 'Ravikumar']"
Bharathan,,Asharaf Films,,U Rajagopal,,SA Nair,Thoppil Bhasi,Thoppil Bhasi,Thirumeni Release,G Venkittaraman,ONV Kurup,,Yudhakaandam (1977),,K Raghavan,,JM Haneefa,Thoppil Bhasi,,"KJ Yesudas, P Leela, P Madhuri, Vani Jairam, B Vasantha",,In progress,Thoppil Bhasi,"['Jayabharathi', 'Madhu']"
,,People Combines,,Shaji N Karun,,,PM Benny,PM Benny,,G Venkittaraman,ONV Kurup,,Muhoorthangal (1977),,MK Arjunan,,,PM Benny,,"KJ Yesudas, S Janaki, Vani Jairam",,In progress,P Ayyaneth,"['Srividya', 'KPAC Sunny', 'MG Soman', 'Ranichandra', 'Sudheer']"
,,Janani Films,,U Rajagopal,,SA Nair,Nagavally RS Kurup,P Bhaskaran,Thirumeni Release,K Sankunni,"P Bhaskaran, Sankaracharyar",,Jagadguru Aadisankaran (1977),,V Dakshinamoorthy,,P Bhaskaran,Nagavally RS Kurup,,"KJ Yesudas, V Dakshinamoorthy, S Janaki, P Jayachandran, P Leela, PB Sreenivas, KP Brahmanandan",,In progress,Mythology,['Muralimohan']
Radhakrishnan (RK),,Rajpriya Pictures,,PS Nivas,,,Surasu,Baby,,K Sankunni,"Poovachal Khader, Dr Pavithran",,Sooryakanthi (1977),,Jaya Vijaya,,,Surasu,,"KJ Yesudas, S Janaki, P Jayachandran",,In progress,Vijayan,"['Sukumaran', 'Kuthiravattam Pappu', 'MG Soman', 'Mallika Sukumaran', 'Sudheer']"
,,Anugraha Arts,,PS Nivas,,SA Nair,Parathulli Raveendran,BK Pottekkad,,VP Krishnan,"P Bhaskaran, Parathulli Raveendran",,Pallavi (1977),,Kannur Rajan,,TP Haridas,Parathulli Raveendran,,"KJ Yesudas, P Jayachandran, P Madhuri",,In progress,Parathulli Raveendran,"['Bahadoor', 'Jayabharathi', 'TR Omana', 'MG Soman', 'Rajakokila', 'Vincent', 'Lalithasree']"
,,GP Films,,TN Krishnankutty Nair,,,SL Puram Sadanandan,Hariharan,,VP Krishnan,Mankombu Gopalakrishnan,,Tholkkaan Enikku Manassilla (1977),,Shankar Ganesh,,GP Balan,,,"KJ Yesudas, P Susheela, P Jayachandran, Vani Jairam, Ambili",,In progress,SL Puram Sadanandan,"['Prem Nazir', 'Jayabharathi', 'MG Soman']"
Narayanankutty,,Chelavoor Pictures,,C Ramachandra Menon,,Kurian Varnasala,Alleppey Sherif,IV Sasi,,K Narayanan,Bharanikkavu Sivakumar,,Aasheervaadam (1977),,MK Arjunan,,Thayyil Kunjikandan,Alleppey Sherif,,"KJ Yesudas, Vani Jairam, Jency, Sreekanth",,In progress,Alleppey Sherif,['Kamalahasan']
A Narayanan Kutty,,Sanjay Productions,E Madhavan,Vipin Das,"N Prabhakaran, MS Mahadevan",Kurian Varnasala,Alleppey Sherif,IV Sasi,United Films,K Narayanan,Bichu Thirumala,MO Devasya,Oonjaal (1977),,G Devarajan,,A Raghunath,Alleppey Sherif,,"KJ Yesudas, P Susheela, P Jayachandran, P Madhuri",,In progress,Alleppey Sherif,"['Sridevi', 'Ranichandra', 'MG Soman']"
,,Rose Movies,,EN Balakrishnan,,,CP Antony,Cross Belt Mani,,Chakrapani,"Mankombu Gopalakrishnan, Bharanikkavu Sivakumar",,Pattaalam Janaki (1977),,KJ Joy,,,CP Antony,,"KJ Yesudas, S Janaki, P Jayachandran, Ambili, SP Balasubrahmanyam, Jolly Abraham",,In progress,CP Antony,"['Vijayalalitha', 'Ravikumar', 'Unnimary', 'Vincent', 'Sudheer']"
"N Soman Nair, PK Achary",,Neela Productions,,NA Thara,K Narayanan,,Nagavally RS Kurup,P Subramaniam,Kumaraswamy & Co,N Gopalakrishnan,"Sreekumaran Thampi, Bankim Chandra Chatterji",R Vikramanan Nair,Vidarunna Mottukal (1977),,G Devarajan,,P Subramaniam,,,"KJ Yesudas, P Madhuri, Karthikeyan, Santha, Rajeswari",Krishna Ilamon,In progress,Nagavally RS Kurup,"['Sumathi (Baby Sumathi)', 'Madhu']"
IV Sasi,,Murali Movies,,Vipin Das,,,Alleppey Sherif,IV Sasi,,K Narayanan,Bichu Thirumala,,Angeekaaram (1977),,AT Ummer,,MP Ramachandran,Alleppey Sherif,,"KJ Yesudas, S Janaki",,In progress,Alleppey Sherif,"['Prameela', 'Sridevi', 'Vincent']"
S Konnannattu,,Dhanalakshmi Kalamandir,,CJ Mohan,,SA Nair,Sreekumaran Thampi,Sasikumar,Central Pictures Release,K Sankunni,Sreekumaran Thampi,,Parivarthanam (1977),,MS Viswanathan,,NC Menon,Sreekumaran Thampi,,"KJ Yesudas, P Susheela, P Jayachandran, Jolly Abraham",,In progress,Sreekumaran Thampi,"['Prem Nazir', 'Sreepriya', 'Srividya']"
Bharathan,,Manjilas,,Ashok Kumar,,SA Nair,N Govindankutty,Bharathan,Central Pictures Release,MS Mani,P Bhaskaran,,Guruvayoor Kesavan (1977),,"G Devarajan, Traditional",,MO Joseph,N Govindankutty,,"KJ Yesudas, P Jayachandran, P Leela, P Madhuri, CO Anto, Jolly Abraham",,In progress,Puthur Unnikrishnan,"['Adoor Bhasi', 'MG Soman', 'Jayabharathi']"
,,Sankalpa,,Vipin Das,,,Salam Karassery,P Vijayan,,G Kalyana Sundaram,Monu,,Choondakkaari (1977),,Kannur Rajan,,Santhoshkumar,Salam Karassery,,"KJ Yesudas, CO Anto, Zero Babu, B Savithri, Chandra, Madhu",,In progress,Salam Karassery,"['Anupama', 'Vijayaraj', 'KV Abutty', 'Nilambur Balan', 'Praveena (Old)', 'Salam Karassery', 'Adoor Pankajam', 'Amir Khan', 'Kani Bava', 'Adoor Bhasi', 'Kayyalam', 'Kuttyedathi Vilasini', 'Lavanya', 'Ravi Menon', 'Vijayalakshmi']"
,,Swayamprabha Movie Makers,,ENC Nair,,,S Kanakam,Stanley Jose,,,"Vayalar, ONV Kurup",,Vezhambal (Ahalyamoksham) (1977),,MK Arjunan,,,S Kanakam,,"KJ Yesudas, P Susheela, P Leela, KP Brahmanandan, Jency, Pattanakkad Purushothaman",,In progress,S Kanakam,"['Sridevi', 'Vincent']"
A Narayanan Kutty,,Suvarna Arts,E Madhavan,MC Sekhar,,SA Nair,MR Joseph,K Sukumaran Nair (K Suku),Vijaya Movies Release,MS Mani,Yusufali Kecheri,,Samudram (1977),,G Devarajan,,,MR Joseph,,"KJ Yesudas, P Jayachandran, P Madhuri, B Vasantha, Jolly Abraham, Latha Raju",,1977-10-11,K Sukumaran Nair (K Suku),"['Sheela', 'Prem Nazir']"
,,Sahrudaya Films,,C Ramachandra Menon,,,SL Puram Sadanandan,Hariharan,,MS Mani,Mankombu Gopalakrishnan,,Sangamam (1977),,MS Viswanathan,,,SL Puram Sadanandan,,"KJ Yesudas, P Jayachandran, Vani Jairam",,In progress,SL Puram Sadanandan,"['Vincent', 'Shobhana (Roja Ramani)', 'Jose', 'Reena']"
Mohana,,Rainbow Enterprises,,PL Roy,,SA Nair,Thoppil Bhasi,Melattoor Ravi Varma,Ajantha Films,G Venkittaraman,"P Bhaskaran, Vayalar, Mankombu Gopalakrishnan",,Anugraham (1977),,Shankar Ganesh,,P Padmanabhan,Thoppil Bhasi,,"KJ Yesudas, P Susheela, Kumari Ramani",,In progress,Melattoor Ravi Varma,"['Vincent', 'TP Madhavan', 'Radha Salooja', 'Prathapachandran', 'Pattom Sadan', 'Paravoor Bharathan', 'Pala Thankam', 'PK Abraham', 'Oduvil Unnikrishnan', 'Meena (Old)', 'Kunjava', 'Kunchan', 'KP Ummer', 'Bahadoor', 'TR Omana', 'Radhika', 'KPAC Lalitha', 'Jayabharathi', 'Prem Nazir', 'Chithra']"
,,RR Cine Creations,,JG Vijayam,,SA Nair,Kakkanadan,Sasikumar,"Jaya Movies, RR Films",G Venkittaraman,Sreekumaran Thampi,,Varadakshina (1977),,G Devarajan,,P Stanley,Kakkanadan,,"KJ Yesudas, P Jayachandran, P Madhuri, Karthikeyan",,In progress,Sasikumar,"['Prem Nazir', 'Jayabharathi']"
Balan,,Sree Murugalaya Films,,CJ Mohan,,SA Nair,SL Puram Sadanandan,Sasikumar,Dinny Films Release,K Sankunni,Sreekumaran Thampi,,Panchaamritham (1977),,G Devarajan,,EK Thyagarajan,,,"KJ Yesudas, P Susheela, P Jayachandran, P Madhuri",,In progress,Sasikumar,"['Jayabharathi', 'Prem Nazir']"
S Konnannattu,,Udaya,,U Rajagopal,,"Bharathan, VM Balan",Sarangapani,M Kunchacko,Excel Release,TR Sekhar,P Bhaskaran,,Kannappanunni (1977),,K Raghavan,,M Kunchacko,Sarangapani,,"KJ Yesudas, S Janaki, P Susheela, P Jayachandran, Vani Jairam, LR Eeswari, KP Brahmanandan, B Vasantha",,1977-07-04,Sarangapani,"['Vijayalalitha', 'Sheela', 'Jayan', 'Jayabharathi', 'Prem Nazir']"
Santhosh,,Lime Light Productions,,,,,Bhaboos,Bhaboos,,KB Harikrishnan,,,Pathinaaraam Praayathile (2001),,Nagesh,,Bhaboos,Bhaboos,,,,In progress,Bhaboos,[]
,,,,,,,,,,,"Melady Ravi, RK Ravivarma",,Kaamalola (1977),,Cochin Alex,,,,,"S Janaki, Jolly Abraham, Latha Raju, Selma George, Sherly",,In progress,,[]
,,,,,,,,,,,"Vayalar, Kallayam Krishnadas",,Cheruppakkar Sookshikkuka (1977),,V Dakshinamoorthy,,,,,"KJ Yesudas, P Susheela, Ambili",,In progress,,[]
,,,,,,,,K Viswanath,,,Mankombu Gopalakrishnan,,Chilanka (1977),,KV Mahadevan,,Elight Pictures,,,"KJ Yesudas, P Susheela, P Jayachandran, Ambili, SP Balasubrahmanyam",,In progress,,"['Jayaprada', 'Chandramohan (Old)']"
,,,,,,,Abhayadev,A Bheem Singh,,,Mankombu Gopalakrishnan,,Chila Nerangalil Chila Manushyar (1977),,MS Viswanathan,,,,,Vani Jairam,,In progress,,"['Lakshmi', 'Sreekanth']"
,,,,,,,,V Sambasiva Rao,,,Madhu Alappuzha,,Rambha Urvasi Menaka (1977),,V Dakshinamoorthy,,,,,"KP Brahmanandan, SP Shailaja",,In progress,,[]
,,,,,,,,N Udayabhanu,,,"L Babu, Ramapuram Radhakrishnan, S Babu",,Oru Jaathi Oru Matham (1977),,Kannur Rajan,,,,,"KJ Yesudas, P Susheela, P Jayachandran, Vani Jairam, Jency",,In progress,,[]
,,,,,,,,PA Thomas,,,"P Bhaskaran, Augustine Vanchimala, Thomas Parannoor",,Swarna Medal (1977),,Joseph Krishna,,PA Thomas,,,"KJ Yesudas, S Janaki, P Jayachandran, B Vasantha",,In progress,,"['Unnimary', 'Jameela Malik', 'Radhika Sarathkumar', 'Shobhana (Roja Ramani)', 'Umesh', 'Vidhubala']"
S Konnannattu,,Navodaya,,U Rajagopal,,SA Nair,N Govindankutty,Appachan (Navodaya),Navodaya Release,TR Sekhar,Yusufali Kecheri,K Velappan,Thacholi Ambu (1978),,K Raghavan,,Appachan (Navodaya),N Govindankutty,,"KJ Yesudas, S Janaki, P Susheela, Vani Jairam",,In progress,N Govindankutty,"['Prem Nazir', 'Jayan', 'Cochin Haneefa', 'Alummoodan', 'Balan K Nair', 'GK Pillai', 'KP Ummer', 'KR Vijaya', 'Kaduvakulam Antony', 'MN Nambiar', 'Mary Joseph', 'Meena (Old)', 'Paravoor Bharathan', 'Ravikumar', 'Sivaji Ganesan', 'Thikkurissi Sukumaran Nair', 'Unnimary', 'Ushakumari', 'Vijayalalitha']"
,,Mahal Productions,,,,,Thulasi,Peruvaaram Chandrasekaran,,G Venkittaraman,Vayalar,,Priyadarshini (1978),,MK Arjunan,,,Thulasi,,"KJ Yesudas, S Janaki, LR Eeswari, Jolly Abraham, Latha Raju, Malathi",,In progress,Thulasi,"['Jayan', 'TR Omana', 'Raghavan', 'Bahadoor', 'Jayasudha', 'Kottarakkara Sreedharan Nair', 'MG Soman']"
S Konnannattu,Guna Singh,Geo Movies,,Vipin Das,Kumar,SA Nair,Alleppey Sherif,IV Sasi,Geo Release,K Narayanan,Yusufali Kecheri,MO Devasya,Iniyum Puzhayozhukum (1978),,G Devarajan,,NG John,Alleppey Sherif,,"KJ Yesudas, P Jayachandran, P Madhuri",,In progress,Rose,"['MG Soman', 'Lakshmi', 'Vidhubala']"
S Konnannattu,,Supriya,,K Ramachandrababu,,SA Nair,P Padmarajan,IV Sasi,"Ajantha Release, Navashakthi Release",K Narayanan,Kavalam Narayana Panicker,,Vaadakaykku Oru Hridayam (1978),,G Devarajan,,Hari Pothan,P Padmarajan,,"KJ Yesudas, P Jayachandran, P Madhuri, Chorus",,In progress,P Padmarajan,"['MG Soman', 'Madhu', 'Jayabharathi']"
Balan,,Evershine Productions,,C Ramachandra Menon,,,Pappanamkodu Lakshmanan,Sasikumar,Evershine Release,K Sankunni,"Chirayinkeezhu Ramakrishnan Nair, Pappanamkodu Lakshmanan",,Ninakku Njaanum Enikku Neeyum (1978),,V Dakshinamoorthy,,Thiruppathi Chettiyar,Pappanamkodu Lakshmanan,,"KJ Yesudas, P Jayachandran, KP Brahmanandan",,In progress,Pappanamkodu Lakshmanan,"['Vidhubala', 'Vanchiyoor Radha', 'Ravikumar', 'Meena (Old)', 'Kuthiravattam Pappu', 'Baby Shanthi', 'Baby Indira', 'Bhavani', 'Ambili (1972)', 'Sreelatha Namboothiri', 'Sankaradi', 'KPAC Lalitha', 'Jagathy Sreekumar', 'Prem Nazir']"
,,Rose Movies,,EN Balakrishnan,,,CP Antony,Cross Belt Mani,,Chakrapani,"Bharanikkavu Sivakumar, Kaniyapuram Ramachandran",,Aanayum Ambaariyum (1978),,Shyam,,,CP Antony,,"KJ Yesudas, S Janaki, P Jayachandran, KP Brahmanandan, Chorus",,In progress,MK Mani,"['Ravikumar', 'Vincent', 'Sudheer', 'Shubha', 'Sadhana']"
CP Padmakumar,Guna Singh,General Pictures,,Shaji N Karun,,,G Aravindan,G Aravindan,,A Ramesan,Kavalam Narayana Panicker,,Thambu (1978),,MG Radhakrishnan,,Raveendranathan Nair,G Aravindan,,"MG Radhakrishnan, Kavalam Sreekumar, Usha Ravi",,In progress,G Aravindan,"['Jalaja', 'Nedumudi Venu', 'Bharath Gopi']"
Mohanan,,Sreevigneswara Filims,,Jayanan Vincent,,SA Nair,VT Nandakumar,A Vincent,,TR Sekhar,Sasikala Menon,,Vayanaadan Thampan (1978),,G Devarajan,,S Hariharan,"A Vincent, VT Nandakumar",,"KJ Yesudas, P Susheela, P Madhuri, Karthikeyan",,In progress,"A Vincent, VT Nandakumar",['Kamalahasan']
,,Supriya,,K Ramachandrababu,,Kurian Varnasala,P Padmarajan,Bharathan,,K Narayanan,Kavalam Narayana Panicker,,Rathinirvedam (1978),,G Devarajan,,Hari Pothan,P Padmarajan,,"KJ Yesudas, P Jayachandran, P Madhuri, Chorus, Karthikeyan",,In progress,P Padmarajan,"['Jayabharathi', 'Krishnachandran']"
Ambili,,Uma Arts,,"RN Pillai, V Karunakaran",,Ambili,Sarah Thomas,P Chandrakumar,"Navashakthi Release, Sithara Release",G Venkittaraman,"Sreekumaran Thampi, Sathyan Anthikkad",,Asthamayam (1978),,Shyam,,Madhu,Sarah Thomas,,"KJ Yesudas, S Janaki, P Jayachandran, Vani Jairam",,In progress,Sarah Thomas,"['Jayabharathi', 'Sharada', 'Madhu']"
,G Devarajan,Roopavani Films,,Ashok Kumar,,,KT Muhammad,Ramu Kariyat,,Ravi,,,Ammuvinte Aattinkutty (1978),,,,"Prem Navas, Sobhana Parameswaran Nair",KT Muhammad,,,,In progress,KSK Thalikkulam,['Baby Vineetha']
,,Hymavathy Movie Makers,,TN Krishnankutty Nair,,SA Nair,Hariharan,Hariharan,,MS Mani,"Yusufali Kecheri, Mankombu Gopalakrishnan",,Yaagaaswam (1978),,"G Devarajan, MS Baburaj",,,Hariharan,,"KJ Yesudas, P Susheela, Vani Jairam",,In progress,Hariharan,"['Prem Nazir', 'Adoor Bhasi', 'Jose Prakash', 'Sankaradi', 'Janardanan', 'KP Ummer', 'KR Vijaya', 'Sathar', 'Vidhubala']"
Sreeni,,Uma & Sunitha Combines,,,,,George Onakkoor,Raghuraman,,G Venkittaraman,Bichu Thirumala,,Kaithappoo (1978),,Shyam,,,George Onakkoor,,"KJ Yesudas, S Janaki, P Susheela",,In progress,George Onakkoor,"['Madhu', 'KPAC Lalitha', 'Manavalan Joseph', 'Raghavan', 'Adoor Bhavani', 'Alummoodan', 'Anandavalli', 'Aranmula Ponnamma', 'Aryad Gopalakrishnan', 'Baby Sreekala', 'Sumathi (Baby Sumathi)', 'KPAC Sunny', 'Khadeeja', 'Kuthiravattam Pappu', 'Master Natarajan', 'Meena (Old)', 'Pattom Sadan', 'Prathapachandran', 'Ranichandra', 'SP Pillai', 'Sudheer', 'Veeran']"
,,Suvarna Arts,,MC Sekhar,,SA Nair,Thoppil Bhasi,K Sukumaran Nair (K Suku),,MS Mani,Yusufali Kecheri,,Snehikkaan Oru Pennu (1978),,G Devarajan,,,Thoppil Bhasi,,"KJ Yesudas, P Jayachandran, P Madhuri",,In progress,Thoppil Bhasi,"['Sangeetha (Old)', 'Vasanthi (Old)', 'Thikkurissi Sukumaran Nair', 'Meena (Old)', 'MG Soman', 'Bahadoor', 'Sreelatha Namboothiri', 'Sankaradi']"
,,Alli Arts,,Jagadeesh,,,Alappuzha Karthikeyan,Babu Nanthankodu,,,Bichu Thirumala,,Ahalya (1978),,KJ Joy,,,Alappuzha Karthikeyan,,"KJ Yesudas, S Janaki, B Vasantha",,In progress,Alappuzha Karthikeyan,"['Sheela', 'Prathapachandran', 'Aranmula Ponnamma', 'Balan K Nair', 'Latha', 'Nagaraj']"
,,Ragachitra,,RM Kasthoori (Moorthy),,,MR Joseph,Thriprayar Sukumaran,,Ravi,Naattika Sivaram,,Bhrashtu (1978),,MS Baburaj,,TK Baburajan,MR Joseph,,"KJ Yesudas, S Janaki, Vani Jairam",,In progress,Madambu Kunjukuttan,"['Sukumaran', 'Gemini Ganesan', 'Kuthiravattam Pappu', 'MS Namboothiri', 'Naattika Sivaram', 'Mala Aravindan', 'Paravoor Bharathan', 'Ravi Menon', 'Reena', 'Sreekala Nattika', 'Sujatha ']"
S Konnannattu,,Prathap Chithra,,Vipin Das,,SA Nair,Thoppil Bhasi,P Bhaskaran,Ajantha Release,G Venkittaraman,P Bhaskaran,,Vilakkum Velichavum (1978),,G Devarajan,,Pavamani,Thoppil Bhasi,,"KJ Yesudas, P Madhuri",,In progress,,"['P Bhaskaran', 'Prem Nazir', 'Sheela', 'Adoor Bhasi', 'Sreelatha Namboothiri', 'TR Omana', 'Bahadoor', 'KP Ummer', 'Seema']"
,,Sree Sabitha Films,,Anandakkuttan,,Kurian Varnasala,,Vijayanand,,,Bichu Thirumala,,Adavukal Pathinettu (1978),,AT Ummer,,"CV Hariharan, RS Prabhu",,,"KJ Yesudas, S Janaki",,In progress,,"['Jayan', 'Sankaradi', 'Kanakadurga', 'Kunchan', 'Kuthiravattam Pappu', 'Prathapachandran', 'Ravikumar', 'Seema', 'Veeran']"
CN Karunakaran,A Anandapadmanabhan,Mohan Muhammad Films,,Madhu Ambatt,,,Madambu Kunjukuttan,KR Mohan,,Suresh Babu,,,Ashwathaamaavu (1979),,,,PT Kunju Muhammad,P Raman Nair,,,,1979-10-26,Madambu Kunjukuttan,['Valsala Antharjanam']
,,Sreeganesh Kalamandir,,Rangan,,Kurian Varnasala,Sreemoolanagaram Mohan,PG Vishwambharan,,Balakrishnan,Yusufali Kecheri,,Madhurikkunna Raathri (1978),,MS Viswanathan,Greeshmam,"NC Menon, YV Gopikrishnan",Sreemoolanagaram Mohan,,"P Susheela, P Jayachandran, Jolly Abraham",,In progress,Sreemoolanagaram Mohan,"['Thikkurissi Sukumaran Nair', 'Pattom Sadan', 'Mala Aravindan', 'Mamatha (Old)', 'Meena (Old)', 'PK Abraham', 'Ravikumar', 'Vincent', 'M K Warrier', 'Aparna (Old)']"
K Balan,,Umamini Movies,,Anandakkuttan,,,Purushan Alappuzha,Alex,Santhi Cinema,NP Suresh,Yusufali Kecheri,,Paavaadakkaari (1978),,AT Ummer,,Purushan Alappuzha,Purushan Alappuzha,,"KJ Yesudas, P Susheela, Ambili, B Vasantha, Jolly Abraham, Shailaja M Ashok",,In progress,Purushan Alappuzha,"['Unnimary', 'Manjula Vijayakumar', 'Vincent']"
,,Kalabindu Filims,,PS Nivas,,,Yatheendra Das,Mani Swamy,,MS Mani,P Bhaskaran,,Rajan Paranja Kadha (1978),,G Devarajan,,Mani Swamy,Yatheendra Das,,"KJ Yesudas, P Madhuri",,In progress,Mani Swamy,"['MG Soman', 'Sukumaran']"
Kitho,,JJ Productions,,Vipin Das,,Kitho,Kanam EJ,Jeasy,Angel Release,G Venkittaraman,Kanam EJ,,Aval Viswasthayaayirunnu (1978),,MK Arjunan,,JJ Kuttikkad,Kanam EJ,,"KJ Yesudas, Vani Jairam, Ambili",,1978-03-25,Kanam EJ,"['MG Soman', 'Vincent', 'Jayabharathi']"
,,Sreevilasini Arts,,"Vipin Das, Anandakkuttan",,,Anwar Suber,Adoor Bhasi,,K Sankunni,Anwar Suber,,Raghuvamsham (1978),,AT Ummer,,,Anwar Suber,,"S Janaki, P Susheela, P Jayachandran, Ambili, Adoor Bhasi, Latha Raju, Sreelatha Namboothiri, Idava Basheer",,In progress,Anwar Suber,"['Sukumari', 'Adoor Bhasi', 'Sankaradi', 'Sharada', 'Sreelatha Namboothiri', 'Raghu (Karan)', 'Sudheer', 'Sathar', 'Janardanan', 'Vettoor Purushan', 'Kollam GK Pillai']"
Balan,,Usha Cine Arts,Vaikom Moorthy,MC Sekhar,"Kasim, PC Joy",SA Salam,Sreekumaran Thampi,VT Thyagarajan,Evershine Release,"EM Madhavan, G Murali, K Sankunni, K Achuthan",Sreekumaran Thampi,TV Ramachandran,Premashilpi (1978),,V Dakshinamoorthy,,,,,"KJ Yesudas, P Jayachandran, Vani Jairam, Ambili",Kannan,In progress,Sreekumaran Thampi,"['MG Soman', 'Jayabharathi', 'KP Ummer', 'Hema ']"
Ceylon Narayanan,,Sreeganesh Kalamandir,,U Rajagopal,,Radhakrishnan (RK),Surasu,Mohan,,G Venkittaraman,"Bichu Thirumala, Rander Guy",,Randu Penkuttikal (1978),,MS Viswanathan,,"NC Menon, YV Gopikrishnan",Mohan,,"P Jayachandran, Usha Uthup",,In progress,VT Nandakumar,"['Sukumaran', 'Shobha', 'Jayan', 'Anupama Mohan', 'Vidhubala']"
,,Umamini Movies,,,,,,PG Vishwambharan,,,"Yusufali Kecheri, Mankombu Gopalakrishnan",,Pokkattadikkaari (1978),,AT Ummer,,Purushan Alappuzha,Purushan Alappuzha,,"KJ Yesudas, P Jayachandran, Ambili, Jolly Abraham, Rajagopal",,In progress,,"['Vincent', 'Unnimary', 'Ravikumar']"
"AN Thampi, Kollam Mani",,Thushara Movie Makers,E Madhavan,TN Krishnankutty Nair,,,G Gopalakrishnan,AN Thampi,,G Venkittaraman,"AP Gopalan, G Gopalakrishnan, GK Pallath",Punaloor Ravi,Paadasaram (1978),,G Devarajan,,TG Chandrakumar,G Gopalakrishnan,,"KJ Yesudas, P Susheela, P Jayachandran, P Madhuri, Karthikeyan, Dhanya, Uma Maheswari",,1978-01-12,R Harikumar,"['Raji', 'Jose', 'TG Ravi', 'Shobha']"
,,Hazeena Films,,TN Krishnankutty Nair,,SA Nair,JC George,P Balthasar,,,"Bichu Thirumala, Mankombu Gopalakrishnan",,Hemantharaathri (1978),,AT Ummer,,P Balthasar,JC George,,"KJ Yesudas, S Janaki, P Susheela, Ambili",,In progress,P Balthasar,"['Ushakumari', 'MG Soman', 'Kanakadurga', 'KP Ummer', 'Raghavan', 'Jayabharathi', 'Jayan', 'Sukumari']"
Das,,Chandra Banu Productions,,RS Pathi,,,AB Raj,AB Raj,,MS Mani,P Bhaskaran,,Avakaasham (1978),,MK Arjunan,,,AB Raj,,KJ Yesudas,,In progress,AB Raj,"['Jayabharathi', 'Jose Prakash', 'Sankaradi', 'Alummoodan', 'MG Soman', 'Vincent']"
GO Sundaram,,Ragam Pictures,,C Namasivayam,,Kurian Varnasala,Thoppil Bhasi,Anthikkad Mani,Evershine Release,K Sankunni,Mankombu Gopalakrishnan,,Balapareekshanam (1978),,MK Arjunan,,Babu Jose,Thoppil Bhasi,,"P Susheela, P Jayachandran, Vani Jairam, Ambili, KP Brahmanandan, Jolly Abraham",,In progress,,"['Raghavan', 'Sreemoolanagaram Vijayan', 'Shubha', 'Pattom Sadan', 'Kottayam Santha', 'Babu Jose', 'Jayabharathi', 'Sukumari', 'Adoor Bhasi', 'Paul Vengola', 'KP Ummer', 'Pala Thankam']"
S Konnannattu,,Navodaya,,U Rajagopal,,SA Nair,Sarangapani,Appachan (Navodaya),Navodaya Release,TR Sekhar,"P Bhaskaran, Chirayinkeezhu Ramakrishnan Nair",K Velappan,Kadathanaattu Maakkam (1978),,G Devarajan,,Appachan (Navodaya),Sarangapani,,"KJ Yesudas, P Susheela, P Madhuri, B Vasantha",,In progress,Sarangapani,"['Prem Nazir', 'Sheela']"
